seed,plain_accuracy,grounded_accuracy,accuracy_gain,plain_valid_rate,grounded_valid_rate,plain_avg_latency_s,grounded_avg_latency_s
7,0.6666666666666666,1.0,0.33333333333333337,1.0,1.0,0.1184424618719883,0.16558651575663438
11,0.7083333333333334,1.0,0.29166666666666663,1.0,1.0,0.07945154682965949,0.14533323269036677
13,0.7083333333333334,0.9583333333333334,0.25,1.0,1.0,0.07769799479137873,0.14169558849971509
17,0.8333333333333334,0.9166666666666666,0.08333333333333326,1.0,1.0,0.0745577915852967,0.12882510937439898
23,0.75,0.9166666666666666,0.16666666666666663,1.0,1.0,0.07412711965783576,0.11871795662591467
